SOLO2,1,20,0,31172,2026-09-25T18:15:18.273Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,20,1,8.0,6,10,70,0,0,1,0,0,0,0,0,0,0,9,12.6,7,19,110,1,0,5,1,0,2,1,0,2,20,9,7424,55,24386,22779,12074,12073,10704,0,100,24100,-,-,-13,12080,-
SOLO2,2,40,0,24426,2026-09-25T18:15:43.721Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,40,1,8.2,5,11,72,0,0,2,0,0,0,0,0,0,0,9,40.1,36,45,352,18,15,20,17,17,18,17,17,18,40,9,7678,55,24384,22779,12084,12085,10694,0,130,24100,-,-,9,12090,-
SOLO2,3,60,0,25350,2026-09-25T18:16:10.122Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,60,1,8.1,6,10,71,0,0,1,0,0,0,0,0,0,0,9,100.9,94,109,885,63,57,70,63,62,63,63,62,63,60,9,7942,55,24385,22815,12123,12122,10691,0,160,24100,-,-,62,12120,-
SOLO2,4,80,0,19713,2026-09-25T18:16:30.815Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,80,1,8.2,7,10,71,0,0,1,0,0,0,0,0,0,0,9,173.0,167,178,1518,147,140,156,146,146,148,146,146,148,80,9,8149,55,24372,22869,12160,12159,10708,0,210,24100,-,-,130,12160,-
SOLO2,5,100,0,19461,2026-09-25T18:16:51.409Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,100,1,7.9,5,11,69,0,0,2,0,0,0,0,0,0,0,9,214.2,210,223,1880,205,199,223,204,202,207,204,202,206,100,9,8355,55,24362,22938,12231,12230,10705,0,270,24100,-,-,215,12210,-
SOLO2,6,120,0,38070,2026-09-25T18:17:30.690Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,120,1,7.2,0,11,63,0,0,2,0,0,0,0,0,0,0,9,255.2,250,263,2239,304,295,316,304,296,309,304,296,309,120,9,8748,55,24355,23029,12304,12306,10724,0,350,24100,-,-,310,12280,-
SOLO2,7,140,0,26370,2026-09-25T18:17:58.118Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,140,1,8.5,7,12,74,0,0,3,0,0,0,0,0,0,0,9,316.3,308,323,2776,399,386,409,398,390,402,398,390,402,140,9,9022,55,24353,23159,12429,12430,10729,0,430,24100,-,-,422,12380,-
SOLO2,8,160,0,35022,2026-09-25T18:18:34.124Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,160,1,8.6,6,13,75,0,0,4,0,0,0,0,0,0,0,9,393.4,386,401,3453,499,491,507,499,491,503,499,491,503,160,9,9382,55,24346,23381,12650,12651,10730,0,530,24100,-,-,541,12600,-
SOLO2,9,180,0,44022,2026-09-25T18:19:19.490Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,180,1,8.6,5,12,75,0,0,3,0,0,0,0,0,0,0,9,494.8,486,508,4342,610,600,624,610,602,615,610,602,615,180,9,9836,55,24440,23755,13031,13031,10723,0,640,24000,-,-,660,12990,-
SOLO2,10,200,0,67606,2026-09-25T18:20:28.097Z,8,8,1046,1303,0,0,0,3,10,0,0,0,1,500,300,0,0,0,0,0,200,1,8.2,0,12,71,0,0,3,0,0,0,0,0,0,0,9,626.5,616,637,5498,754,743,767,754,746,761,754,746,761,200,9,10522,55,24331,24345,13625,13626,10717,0,760,24000,-,-,764,13650,-
